s,c,id
http://www.wikidata.org/entity/Q117827,22,Q117827
http://www.wikidata.org/entity/Q117850,56,Q117850
http://www.wikidata.org/entity/Q117879,8,Q117879
http://www.wikidata.org/entity/Q118322,11,Q118322
http://www.wikidata.org/entity/Q119253,28,Q119253
http://www.wikidata.org/entity/Q120544,112,Q120544
http://www.wikidata.org/entity/Q120560,628,Q120560
http://www.wikidata.org/entity/Q120804,40,Q120804
http://www.wikidata.org/entity/Q121117,160,Q121117
http://www.wikidata.org/entity/Q121182,57,Q121182
http://www.wikidata.org/entity/Q121359,15,Q121359
http://www.wikidata.org/entity/Q121702,27,Q121702
http://www.wikidata.org/entity/Q121742,80,Q121742
http://www.wikidata.org/entity/Q121750,9,Q121750
http://www.wikidata.org/entity/Q121998,10,Q121998
http://www.wikidata.org/entity/Q122653,30,Q122653
http://www.wikidata.org/entity/Q123266,36,Q123266
http://www.wikidata.org/entity/Q123480,45,Q123480
http://www.wikidata.org/entity/Q123550,10,Q123550
http://www.wikidata.org/entity/Q123577,148,Q123577
http://www.wikidata.org/entity/Q123737,10,Q123737
http://www.wikidata.org/entity/Q123991,25,Q123991
http://www.wikidata.org/entity/Q124072,83,Q124072
http://www.wikidata.org/entity/Q124282,131,Q124282
http://www.wikidata.org/entity/Q123705,30495,Q123705
http://www.wikidata.org/entity/Q124734,516,Q124734
http://www.wikidata.org/entity/Q124757,373,Q124757
http://www.wikidata.org/entity/Q124922,10,Q124922
http://www.wikidata.org/entity/Q124964,102,Q124964
http://www.wikidata.org/entity/Q125161,6,Q125161
http://www.wikidata.org/entity/Q125465,7,Q125465
http://www.wikidata.org/entity/Q125191,18861,Q125191
http://www.wikidata.org/entity/Q125992,42,Q125992
http://www.wikidata.org/entity/Q126017,10,Q126017
http://www.wikidata.org/entity/Q126351,201,Q126351
http://www.wikidata.org/entity/Q126701,16,Q126701
http://www.wikidata.org/entity/Q126793,18,Q126793
http://www.wikidata.org/entity/Q126818,22,Q126818
http://www.wikidata.org/entity/Q124714,66689,Q124714
http://www.wikidata.org/entity/Q127197,8,Q127197
http://www.wikidata.org/entity/Q127418,20,Q127418
http://www.wikidata.org/entity/Q127448,436,Q127448
http://www.wikidata.org/entity/Q126807,23290,Q126807
http://www.wikidata.org/entity/Q127583,9,Q127583
http://www.wikidata.org/entity/Q127771,21,Q127771
http://www.wikidata.org/entity/Q127780,15,Q127780
http://www.wikidata.org/entity/Q127843,77,Q127843
http://www.wikidata.org/entity/Q127910,53,Q127910
http://www.wikidata.org/entity/Q127933,22,Q127933
http://www.wikidata.org/entity/Q128093,131,Q128093
http://www.wikidata.org/entity/Q128207,13,Q128207
http://www.wikidata.org/entity/Q128234,102,Q128234
http://www.wikidata.org/entity/Q128250,33,Q128250
http://www.wikidata.org/entity/Q128430,14,Q128430
http://www.wikidata.org/entity/Q128713,6,Q128713
http://www.wikidata.org/entity/Q128758,10,Q128758
http://www.wikidata.org/entity/Q128814,16,Q128814
http://www.wikidata.org/entity/Q128952,47,Q128952
http://www.wikidata.org/entity/Q128961,6,Q128961
http://www.wikidata.org/entity/Q129010,72,Q129010
http://www.wikidata.org/entity/Q129180,8,Q129180
http://www.wikidata.org/entity/Q129238,31,Q129238
http://www.wikidata.org/entity/Q129264,59,Q129264
http://www.wikidata.org/entity/Q129270,6,Q129270
http://www.wikidata.org/entity/Q129292,7,Q129292
http://www.wikidata.org/entity/Q129455,33,Q129455
http://www.wikidata.org/entity/Q129495,29,Q129495
http://www.wikidata.org/entity/Q129535,11,Q129535
http://www.wikidata.org/entity/Q129532,12,Q129532
http://www.wikidata.org/entity/Q129558,75,Q129558
http://www.wikidata.org/entity/Q129650,11,Q129650
http://www.wikidata.org/entity/Q129656,41,Q129656
http://www.wikidata.org/entity/Q130003,970,Q130003
http://www.wikidata.org/entity/Q130122,12,Q130122
http://www.wikidata.org/entity/Q130222,41,Q130222
http://www.wikidata.org/entity/Q130368,57,Q130368
http://www.wikidata.org/entity/Q130617,7,Q130617
http://www.wikidata.org/entity/Q130762,11,Q130762
http://www.wikidata.org/entity/Q130788,30,Q130788
http://www.wikidata.org/entity/Q130825,21,Q130825
http://www.wikidata.org/entity/Q130903,33,Q130903
http://www.wikidata.org/entity/Q130901,8,Q130901
http://www.wikidata.org/entity/Q130954,8,Q130954
http://www.wikidata.org/entity/Q130989,42,Q130989
http://www.wikidata.org/entity/Q130998,8,Q130998
http://www.wikidata.org/entity/Q130996,10,Q130996
http://www.wikidata.org/entity/Q131030,9,Q131030
http://www.wikidata.org/entity/Q131084,80,Q131084
http://www.wikidata.org/entity/Q131093,276,Q131093
http://www.wikidata.org/entity/Q131123,6,Q131123
http://www.wikidata.org/entity/Q131138,12,Q131138
http://www.wikidata.org/entity/Q131183,52,Q131183
http://www.wikidata.org/entity/Q131207,14,Q131207
http://www.wikidata.org/entity/Q131214,12,Q131214
http://www.wikidata.org/entity/Q131212,234,Q131212
http://www.wikidata.org/entity/Q131186,1836,Q131186
http://www.wikidata.org/entity/Q131269,215,Q131269
http://www.wikidata.org/entity/Q131263,972,Q131263
http://www.wikidata.org/entity/Q131295,25,Q131295
http://www.wikidata.org/entity/Q131299,20,Q131299
http://www.wikidata.org/entity/Q131395,20,Q131395
http://www.wikidata.org/entity/Q131419,7,Q131419
http://www.wikidata.org/entity/Q131449,14,Q131449
http://www.wikidata.org/entity/Q131436,1763,Q131436
http://www.wikidata.org/entity/Q131514,132,Q131514
http://www.wikidata.org/entity/Q131539,28,Q131539
http://www.wikidata.org/entity/Q131559,18,Q131559
http://www.wikidata.org/entity/Q131557,21,Q131557
http://www.wikidata.org/entity/Q131569,1817,Q131569
http://www.wikidata.org/entity/Q131656,6,Q131656
http://www.wikidata.org/entity/Q131669,463,Q131669
http://www.wikidata.org/entity/Q131704,12,Q131704
http://www.wikidata.org/entity/Q131647,1985,Q131647
http://www.wikidata.org/entity/Q131714,12,Q131714
http://www.wikidata.org/entity/Q131596,4459,Q131596
http://www.wikidata.org/entity/Q131746,54,Q131746
http://www.wikidata.org/entity/Q131790,12,Q131790
http://www.wikidata.org/entity/Q131734,1817,Q131734
http://www.wikidata.org/entity/Q131841,11,Q131841
http://www.wikidata.org/entity/Q131862,456,Q131862
http://www.wikidata.org/entity/Q132017,20,Q132017
http://www.wikidata.org/entity/Q132041,11,Q132041
http://www.wikidata.org/entity/Q132050,39,Q132050
http://www.wikidata.org/entity/Q132137,599,Q132137
http://www.wikidata.org/entity/Q132213,162,Q132213
http://www.wikidata.org/entity/Q131681,17191,Q131681
http://www.wikidata.org/entity/Q132241,2180,Q132241
http://www.wikidata.org/entity/Q132364,195,Q132364
http://www.wikidata.org/entity/Q132377,99,Q132377
http://www.wikidata.org/entity/Q132397,61,Q132397
http://www.wikidata.org/entity/Q132510,97,Q132510
http://www.wikidata.org/entity/Q132659,14,Q132659
http://www.wikidata.org/entity/Q132781,7,Q132781
http://www.wikidata.org/entity/Q132834,133,Q132834
http://www.wikidata.org/entity/Q132821,885,Q132821
http://www.wikidata.org/entity/Q132911,26,Q132911
http://www.wikidata.org/entity/Q133004,118,Q133004
http://www.wikidata.org/entity/Q133067,327,Q133067
http://www.wikidata.org/entity/Q133163,24,Q133163
http://www.wikidata.org/entity/Q133156,231,Q133156
